appid;name;release_date;english;developer;publisher;platforms;required_age;categories;genres;steamspy_tags;achievements;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;price;genresLista;genero;positiveReviewsPct;year;average_playtime_log
202750;Alan Wake's American Nightmare;2012-05-22;1;Remedy Entertainment;Remedy Entertainment;windows;0;"Single-player;Full controller support";"Action;Adventure";"Action;Adventure;Horror";12;3598;1468;71;123;1000000-2000000;6.19;['Action', 'Adventure'];Adventure;0.7102250296091591;2012;4.2626798770413155
297130;Titan Souls;2015-04-14;1;Acid Nerve;Devolver Digital;"windows;mac";0;"Single-player;Steam Achievements;Full controller support";"Action;Adventure;Indie";"Pixel Graphics;Difficult;Adventure";27;3556;981;46;67;200000-500000;10.99;['Action', 'Adventure', 'Indie'];Adventure;0.7837778267577694;2015;3.828641396489095
115800;Owlboy;2016-11-01;1;D-Pad Studio;D-Pad Studio;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie";"Pixel Graphics;Adventure;Great Soundtrack";12;3542;555;613;534;200000-500000;18.99;['Action', 'Adventure', 'Indie'];Adventure;0.8645350256285087;2016;6.418364935936212
207690;Botanicula;2012-05-07;1;Amanita Design;Amanita Design;"windows;mac";0;"Single-player;Steam Achievements;Steam Trading Cards";"Adventure;Casual;Indie";"Point & Click;Adventure;Indie";53;3524;136;16;20;200000-500000;7.99;['Adventure', 'Casual', 'Indie'];Adventure;0.9628415300546448;2012;2.772588722239781
467960;Home Behind;2016-06-02;1;TPP Studio;TPP Studio;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";"Adventure;Casual;Indie;RPG;Simulation;Strategy";"Adventure;RPG;Survival";35;3517;530;1160;1394;200000-500000;4.79;['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy'];Adventure;0.8690387941685199;2016;7.05617528410041
300550;Shadowrun: Dragonfall - Director's Cut;2014-09-18;1;Harebrained Schemes;Paradox Interactive;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor";"Adventure;Indie;RPG;Strategy";"RPG;Cyberpunk;Turn-Based";39;3488;398;505;424;500000-1000000;10.99;['Adventure', 'Indie', 'RPG', 'Strategy'];Adventure;0.8975810602161606;2014;6.22455842927536
332500;GRAV;2015-01-08;1;BitMonster, Inc.;BitMonster, Inc.;windows;0;"Single-player;Multi-player;Co-op;Partial Controller Support";"Action;Adventure;Indie;RPG;Early Access";"Early Access;Survival;Open World";0;3484;3010;509;853;500000-1000000;14.99;['Action', 'Adventure', 'Indie', 'RPG', 'Early Access'];Adventure;0.5364952263627965;2015;6.2324480165505225
705220;Tactical Monsters Rumble Arena;2018-01-31;1;Camex Games;Camex Games;"windows;mac";0;"Single-player;Multi-player;Online Multi-Player;In-App Purchases";"Adventure;Free to Play;Indie;RPG;Strategy";"Free to Play;Strategy;Multiplayer";0;3480;387;229;243;200000-500000;0.0;['Adventure', 'Free to Play', 'Indie', 'RPG', 'Strategy'];Adventure;0.899922420480993;2018;5.43372200355424
253110;The Cat Lady;2013-12-04;1;Harvester Games;Screen 7;windows;18;"Single-player;Steam Achievements;Steam Trading Cards";"Adventure;Indie";"Horror;Story Rich;Indie";25;3446;246;229;229;100000-200000;7.19;['Adventure', 'Indie'];Adventure;0.9333694474539544;2013;5.43372200355424
471710;Rec Room;2016-06-28;1;Against Gravity®;Against Gravity®;windows;0;"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Full controller support;SteamVR Collectibles;Includes level editor";"Action;Adventure;Casual;Free to Play;Massively Multiplayer;Sports;Early Access";"Early Access;VR;Free to Play";0;3431;225;54;78;200000-500000;0.0;['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Sports', 'Early Access'];Adventure;0.938457330415755;2016;3.9889840465642745
530620;Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour;2016-12-18;1;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;windows;18;"Single-player;Full controller support;Steam Cloud";"Action;Adventure";"Horror;Survival Horror;Free to Play";0;3424;483;63;57;1000000-2000000;0.0;['Action', 'Adventure'];Adventure;0.8763757358587151;2016;4.143134726391533
404410;Endless Sky;2015-10-30;1;Michael Zahniser;Michael Zahniser;"windows;mac;linux";0;Single-player;"Action;Adventure;Free to Play;RPG;Simulation";"Space;Free to Play;Open World";0;3420;366;33;50;500000-1000000;0.0;['Action', 'Adventure', 'Free to Play', 'RPG', 'Simulation'];Adventure;0.9033280507131537;2015;3.4965075614664802
435530;The Final Station;2016-08-30;1;"Oleg Sergeev;Andrey Rumak;Do My Best";tinyBuild;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud";"Action;Adventure;Indie";"Pixel Graphics;Survival;Post-apocalyptic";23;3383;649;199;251;100000-200000;10.99;['Action', 'Adventure', 'Indie'];Adventure;0.8390376984126984;2016;5.293304824724492
